academic underachievement,acculturation multicultural issues,addiction,adhd,adjustment coping and illness,adoption,alcohol abuse,alzheimers,anger management,anxiety,aspergers syndrome,attachment therapy early intervention,autism,bachelor amp husband challenges,behavioral issues,bipolar disorder,bisexual,borderline personality,career counseling,career transition,child or adolescent,chronic impulsivity,chronic pain,chronic relapse,co dependency group therapy,co dependency retirement transitio,codependency,coping skills,couple and family therapy,depression,developmental disorders,dissociative disorders,divorce,domestic abuse,domestic violence,drug abuse,dual diagnosis,early childhood trauma,eating disorders,elderly persons disorders,emdr,emotional disturbance,executive coaching,executive coaching couples counseling,family conflict,forgiveness,forgiveness practice,gay,grief,impulse control disorders,infertility,infidelity,internet addiction,istdp,launching young adults into adult,learning disabilities,lesbian,life coaching,life transitions,marital and premarital,maximize medical treatmt conditions,medication management,mens issues,mindfulness,mood disorders,obesity,obsessive compulsive ocd,occupational issues,oppositional defiance,panic disorder and phobias,parenting,peer relationships,personality disorders,post partum depression,postpartum adjustment,psychosis,relational psychoanalysis,relationship issues,self esteem,sex therapy,sexual abuse,sexual addiction,singleness issues in dating,sleep depression intense emotions,sleep or insomnia,spirituality,substance abuse,suicidal ideation,teen violence,testing and evaluation,trauma and ptsd,trauma recovery emdr cognitive beh,traumatic brain injury,weight loss,women in transition,womens health care,womens issues,work health and relationship stres,work stress
acc,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accent,0,0,0,0,120,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accept,5,12,0,3,9,4,0,2,2,0,7,3,14,4,4,1,15,6,11,2,6,1,6,1,7,1,4,6,3,0,0,4,0,25,16,7,4,0,1,0,5,1,4,2,4,9,1,3,14,7,1,41,13,10,2,0,18,3,0,20,3,0,3,26,0,0,0,0,1,0,5,19,11,1,8,7,0,5,41,7,6,0,2,0,1,11,11,3,6,2,0,1,1,2,5,4,0,2,1
access,4,8,7,10,3,0,8,2,0,2,4,3,21,22,11,61,6,13,1,1,13,0,1,0,1,3,2,4,4,11,2,10,21,13,10,5,0,2,4,0,4,2,5,5,5,1,1,3,9,0,1,26,80,7,1,1,5,0,0,8,8,4,2,12,9,21,11,10,30,2,0,3,11,47,4,11,1,1,4,0,3,1,4,0,9,7,29,30,7,5,5,7,54,3,1,12,10,7,0
accessori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
accid,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,2,0,1,3,1,0,3,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,5,2,19,0,0,0,0,0,9
accommod,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,4,2,0
accompani,0,4,0,0,0,0,0,0,0,0,3,2,2,0,0,0,1,3,0,0,0,0,1,0,0,0,5,1,0,2,3,5,0,3,1,0,0,2,0,3,0,0,0,0,1,0,0,2,0,0,0,10,4,12,0,0,3,0,0,0,1,0,0,1,2,0,1,0,1,2,0,0,3,0,1,1,0,0,2,0,1,0,0,1,0,1,0,3,0,0,1,3,0,0,0,0,0,0,0
accomplish,1,0,1,1,0,0,0,0,2,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,7,2,0,1,0,0,0,0,0,2,5,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
account,5,9,7,3,0,8,2,11,6,0,11,7,10,12,4,5,6,12,2,2,20,18,2,4,4,11,6,0,18,4,5,18,2,13,8,5,7,1,4,2,6,0,22,2,2,7,1,14,13,10,0,31,12,8,0,0,9,2,0,3,10,2,0,10,3,3,1,5,6,0,12,6,8,5,1,7,15,0,6,5,11,5,13,1,1,5,20,5,6,3,0,4,13,2,1,8,2,6,2
accredit,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,21,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,2,0,0,0,2,9,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0
accur,3,0,0,2,2,0,2,3,2,0,5,3,1,0,1,1,1,3,0,1,0,4,0,0,1,0,0,0,0,1,5,5,0,0,0,4,0,3,0,1,0,1,0,0,1,2,0,0,1,0,0,0,4,0,0,0,6,1,0,0,3,2,0,0,0,0,0,0,3,1,0,0,4,0,0,0,0,2,3,0,0,0,0,1,0,1,1,0,0,1,0,1,6,0,0,0,2,1,0
accuraci,1,1,1,0,1,0,0,3,0,0,1,0,0,0,1,0,3,1,1,0,0,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,6,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
accus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,10,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0
